district_name,school_name,level,street_address,city,state,zip,latitude,longitude,charter
BROWARD     ,SOMERSET PREPARATORY ACADEMY CHARTER SCHOOL AT NORTH LAUDERDALE                                     ,"elementary, middle",7101 KIMBERLY BLVD                                                              ,NORTH LAUDERDALE    ,FL,33068-2388,26.2191,-80.22095,True
BROWARD     ,SOMERSET VILLAGE ACADEMY                                                                            ,elementary,225 NW 29TH ST                                                                  ,WILTON MANORS       ,FL,33311-2427,26.16316,-80.14822,True
BROWARD     ,SOMERSET PREPARATORY ACADEMY CHARTER HIGH AT NORTH LAUDERDALE                                       ,high,7101 KIMBERLY BLVD                                                              ,NORTH LAUDERDALE    ,FL,33068-2388,26.2191,-80.22095,True
BROWARD     ,SOMERSET ACADEMY CHARTER HIGH SCHOOL MIRAMAR CAMPUS                                                 ,high,9300 PEMBROKE RD                                                                ,MIRAMAR             ,FL,33025-1640,25.99269,-80.26798,True
BROWARD     ,ANDREWS HIGH SCHOOL                                                                                 ,high,3500 N ANDREWS AVENUE                                                           ,POMPANO BEACH       ,FL,33064-2035,26.17112,-80.14503,True
BROWARD     ,FRANKLIN ACADEMY SUNRISE                                                                            ,"elementary, middle",4500 NW 103 AVE                                                                 ,SUNRISE             ,FL,33351-7923,26.18049,-80.28734,True
BROWARD     ,FRANKLIN ACADEMY PEMBROKE PINES                                                                     ,"elementary, middle",18800 PINES BLVD                                                                ,PEMBROKE PINES      ,FL,33029-1310,26.00634,-80.39929,True
BROWARD     ,RENAISSANCE CHARTER MIDDLE SCHOOL AT PINES                                                          ,"elementary, middle",10501 PINES BLVD                                                                ,PEMBROKE PINES      ,FL,33026-6006,26.00914,-80.2864,True
BROWARD     ,AVANT GARDE ACADEMY K-5 BROWARD                                                                     ,elementary,2025 MCKINLEY ST                                                                ,HOLLYWOOD           ,FL,33020-3139,26.02524,-80.14831,True
BROWARD     ,RENAISSANCE CHARTER SCHOOL AT CORAL SPRINGS                                                         ,"elementary, middle",6250 W SAMPLE RD                                                                ,CORAL SPRINGS       ,FL,33067-3176,26.27227,-80.20748,True
BROWARD     ,SOMERSET NEIGHBORHOOD SCHOOL                                                                        ,elementary,9300 PEMBROKE RD                                                                ,MIRAMAR             ,FL,33025-1640,25.99269,-80.26798,True
BROWARD     ,BRIDGEPREP ACADEMY OF BROWARD K-8                                                                   ,"elementary, middle",1400 N. 46 AVENUE                                                               ,HOLLYWOOD           ,FL,33021,26.02291,-80.19003,True
BROWARD     ,RENAISSANCE CHARTER SCHOOL AT PLANTATION                                                            ,"elementary, middle",6701 W SUNRISE BLVD                                                             ,PLANTATION          ,FL,33313-6039,26.13915,-80.23791,True
BROWARD     ,IMAGINE SCHOOLS AT BROWARD                                                                          ,"elementary, middle",9001 WESTVIEW DR                                                                ,CORAL SPRINGS       ,FL,33067-2869,26.29991,-80.24763,True
BROWARD     ,ACADEMIC SOLUTIONS HIGH SCHOOL                                                                      ,high,2000 W COMMERCIAL BLVD                                                          ,FT LAUDERDALE       ,FL,33309-3073,26.18749,-80.17016,True
BROWARD     ,ATLANTIC MONTESSORI CHARTER SCHOOL                                                                  ,elementary,9893 PINES BLVD                                                                 ,PEMBROKE PINES      ,FL,33024-6164,26.0084,-80.27752,True
BROWARD     ,SOMERSET PINES ACADEMY                                                                              ,"elementary, middle",901 NE 33RD ST                                                                  ,POMPANO BEACH       ,FL,33064-5231,26.27271,-80.11,True
BROWARD     ,CHARTER SCHOOL OF EXCELLENCE                                                                        ,elementary,1217 SE 3RD AVE                                                                 ,FORT LAUDERDALE     ,FL,33316-1905,26.10691,-80.14035,True
BROWARD     ,FRANKLIN ACADEMY COOPER CITY                                                                        ,"elementary, middle",6301 FLAMINGO RD                                                                ,COOPER CITY         ,FL,33330-3207,26.03993,-80.31296,True
BROWARD     ,BROWARD MATH AND SCIENCE SCHOOLS                                                                    ,"elementary, middle, high",6101 NW 31ST ST                                                                 ,MARGATE             ,FL,33063-7015,26.26922,-80.2053,True
BROWARD     ,CENTRAL CHARTER SCHOOL                                                                              ,"elementary, middle",4515 STATE ROAD 7                                                               ,LAUDERDALE LAKES    ,FL,33319-5883,26.18021,-80.20362,True
BROWARD     ,IMAGINE SCHOOLS PLANTATION  CAMPUS                                                                  ,"elementary, middle",8200 PETERS RD                                                                  ,PLANTATION          ,FL,33324-3201,26.10425,-80.25724,True
BROWARD     ,FRANKLIN ACADEMY F                                                                                  ,"elementary, middle",5000 SW 207TH TERRACE                                                           ,PEMBROKE PINES      ,FL,33332,26.05557,-80.427,True
BROWARD     ,RENAISSANCE CHARTER SCHOOL AT UNIVERSITY                                                            ,"elementary, middle",8399 N UNIVERSITY DR                                                            ,TAMARAC             ,FL,33321-1711,26.22656,-80.25417,True
BROWARD     ,RENAISSANCE CHARTER SCHOOL AT COOPER CITY                                                           ,"elementary, middle",2800 NORTH PALM AVE                                                             ,COOPER CITY         ,FL,33026-3500,26.03365,-80.28059,True
BROWARD     ,PEMBROKE PINES CHARTER ELEMENTARY SCHOOL                                                            ,elementary,10801 PEMBROKE ROAD                                                             ,PEMBROKE PINES      ,FL,33025-1707,25.99438,-80.28958,True
BROWARD     ,WEST BROWARD ACADEMY                                                                                ,"elementary, middle",5281 COCONUT CREEK PKWY                                                         ,MARGATE             ,FL,33063-3962,26.24457,-80.19707,True
BROWARD     ,SUNED HIGH OF SOUTH BROWARD                                                                         ,high,2744 DAVIE BLVD                                                                 ,FT LAUDERDALE       ,FL,33312-2927,26.10559,-80.17865,True
BROWARD     ,SOMERSET ACADEMY MIRAMAR SOUTH                                                                      ,elementary,12425 SW 53RD ST                                                                ,MIRAMAR             ,FL,33025,25.9596,-80.31145,True
BROWARD     ,SOMERSET PARKLAND ACADEMY                                                                           ,"elementary, middle",8401 UNIVERSTIY DR                                                              ,PARKLAND            ,FL,33076,26.33541,-80.25227,True
BROWARD     ,SUNFIRE HIGH SCHOOL                                                                                 ,high,2360 W OAKLAND PARK BLVD                                                        ,OAKLAND PARK        ,FL,33311-1410,26.16505,-80.17447,True
BROWARD     ,CITY/PEMBROKE PINES CHARTER MIDDLE SCHOOL                                                           ,middle,18500 PEMBROKE RD                                                               ,PEMBROKE PINES      ,FL,33029-6108,25.99402,-80.39356,True
BROWARD     ,CORAL SPRINGS CHARTER SCHOOL                                                                        ,high,3205 N UNIVERSITY DR                                                            ,CORAL SPRINGS       ,FL,33065-4115,26.27084,-80.24844,True
BROWARD     ,IMAGINE CHARTER SCHOOL AT WESTON                                                                    ,"elementary, middle",2500 GLADES CIR                                                                 ,WESTON              ,FL,33327-2253,26.1371,-80.42144,True
BROWARD     ,BRIDGEPREP ACADEMY OF HOLLYWOOD HILLS                                                               ,elementary,1400 N 46 AVE                                                                   ,HOLLYWOOD           ,FL,33021-4765,26.02291,-80.19003,True
BROWARD     ,CITY/PEMBROKE PINES CHARTER HIGH SCHOOL                                                             ,high,17189 SHERIDAN ST                                                               ,PEMBROKE PINES      ,FL,33331-1934,26.03141,-80.37321,True
BROWARD     ,GREENTREE PREPARATORY CHARTER SCHOOL                                                                ,"elementary, middle",6301 SW 160TH AVE                                                               ,SOUTHWEST RANCHES   ,FL,33331-4664,26.00992,-80.38736,True
BROWARD     ,SOMERSET ACADEMY                                                                                    ,elementary,19620 PINES BLVD.                                                               ,PEMBROKE PINES      ,FL,33029,26.0061,-80.41013,True
BROWARD     ,FRANKLIN ACADEMY PEMBROKE PINES HIGH SCHOOL                                                         ,high,5000 SW 207TH TERRACE                                                           ,PEMBROKE PINES      ,FL,33332,26.05557,-80.427,True
BROWARD     ,SOMERSET ACADEMY MIDDLE SCHOOL                                                                      ,middle,20803 JOHNSON ST                                                                ,PEMBROKE PINES      ,FL,33029-1916,26.01578,-80.42573,True
BROWARD     ,NORTH BROWARD ACADEMY OF EXCELLENCE                                                                 ,elementary,8200 SW 17TH ST                                                                 ,NORTH LAUDERDALE    ,FL,33068-4101,26.20523,-80.23925,True
BROWARD     ,ATLANTIC MONTESSORI CHARTER SCHOOL WEST CAMPUS                                                      ,elementary,2550 S FLAMINGO RD                                                              ,DAVIE               ,FL,33325-5616,26.08912,-80.31244,True
