,origin_school,destination_school,comparison_level,Origin_School_Name,Origin_District,Destination_School_Name,Destination_District,distance_between
360,65,1486,elementary,CALLAWAY ELEMENTARY SCHOOL                                                                          ,BAY         ,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,45.7252515186
361,72,1486,elementary,PARKER ELEMENTARY SCHOOL                                                                            ,BAY         ,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,46.3827269637
362,83,1486,elementary,TYNDALL ACADEMY                                                                                     ,BAY         ,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,44.7371359562
363,62,1486,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,49.5644377844
364,77,1486,middle,MARGARET K. LEWIS IN MILLVILLE                                                                      ,BAY         ,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,48.18560641569999
365,75,1493,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,CHATTAHOOCHEE ELEMENTARY SCHOOL                                                                     ,GADSDEN     ,42.8698615842
366,75,1492,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,GREENSBORO ELEMENTARY SCHOOL                                                                        ,GADSDEN     ,44.33183685189999
367,75,1489,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,WEST GADSDEN MIDDLE SCHOOL                                                                          ,GADSDEN     ,44.4085716504
368,65,1512,elementary,CALLAWAY ELEMENTARY SCHOOL                                                                          ,BAY         ,PREK ESE                                                                                            ,GULF        ,22.3794056354
369,65,1511,elementary,CALLAWAY ELEMENTARY SCHOOL                                                                          ,BAY         ,WEWAHITCHKA ELEMENTARY SCHOOL                                                                       ,GULF        ,22.7517926254
370,65,1513,elementary,CALLAWAY ELEMENTARY SCHOOL                                                                          ,BAY         ,PORT ST. JOE ELEMENTARY SCHOOL                                                                      ,GULF        ,29.896263323600003
371,75,1512,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,PREK ESE                                                                                            ,GULF        ,23.0876019734
372,75,1511,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,WEWAHITCHKA ELEMENTARY SCHOOL                                                                       ,GULF        ,23.3298798919
373,75,1513,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,PORT ST. JOE ELEMENTARY SCHOOL                                                                      ,GULF        ,40.5047743996
374,84,1512,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,PREK ESE                                                                                            ,GULF        ,23.750579504
375,84,1511,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,WEWAHITCHKA ELEMENTARY SCHOOL                                                                       ,GULF        ,24.0985142133
376,84,1513,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,PORT ST. JOE ELEMENTARY SCHOOL                                                                      ,GULF        ,34.9481272784
377,79,1515,high,RUTHERFORD HIGH SCHOOL                                                                              ,BAY         ,WEWAHITCHKA HIGH SCHOOL                                                                             ,GULF        ,25.7849801957
378,79,1514,high,RUTHERFORD HIGH SCHOOL                                                                              ,BAY         ,PORT ST. JOE HIGH SCHOOL                                                                            ,GULF        ,32.4849035265
379,94,1515,high,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,WEWAHITCHKA HIGH SCHOOL                                                                             ,GULF        ,25.895562098800003
380,94,1514,high,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,PORT ST. JOE HIGH SCHOOL                                                                            ,GULF        ,35.8027337525
381,75,1878,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,32.6410997583
382,75,1876,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,PONCE DE LEON ELEMENTARY SCHOOL                                                                     ,HOLMES      ,40.3982875823
383,75,1873,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,POPLAR SPRINGS HIGH SCHOOL                                                                          ,HOLMES      ,41.2460531314
384,76,1876,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,PONCE DE LEON ELEMENTARY SCHOOL                                                                     ,HOLMES      ,31.686552456799998
385,76,1878,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,35.469008466999995
386,76,1874,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,BETHLEHEM HIGH SCHOOL                                                                               ,HOLMES      ,44.409696529399994
387,87,1878,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,26.9114402376
388,87,1876,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,PONCE DE LEON ELEMENTARY SCHOOL                                                                     ,HOLMES      ,29.051591765999998
389,87,1874,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,BETHLEHEM HIGH SCHOOL                                                                               ,HOLMES      ,36.7193579121
390,87,1877,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,HOLMES COUNTY HIGH SCHOOL                                                                           ,HOLMES      ,26.9998712284
391,87,1879,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,GRADUATION ASSISTANCE PROGRAM                                                                       ,HOLMES      ,27.5707850141
392,88,1875,high,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,PONCE DE LEON HIGH SCHOOL                                                                           ,HOLMES      ,38.0389223054
393,88,1877,high,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,HOLMES COUNTY HIGH SCHOOL                                                                           ,HOLMES      ,40.720358106999996
394,62,1878,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,38.2868649802
395,62,1874,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,BETHLEHEM HIGH SCHOOL                                                                               ,HOLMES      ,48.25163507600001
396,87,1878,middle,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,26.9114402376
397,87,1874,middle,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,BETHLEHEM HIGH SCHOOL                                                                               ,HOLMES      ,36.7193579121
398,73,1917,elementary,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,COTTONDALE ELEMENTARY SCHOOL                                                                        ,JACKSON     ,38.552007058200005
399,73,1915,elementary,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,39.7241007801
400,73,1914,elementary,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,39.738104975
401,75,1914,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,28.1540358042
402,75,1915,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,29.234059782600003
403,75,1917,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,COTTONDALE ELEMENTARY SCHOOL                                                                        ,JACKSON     ,29.8127462816
404,87,1917,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,COTTONDALE ELEMENTARY SCHOOL                                                                        ,JACKSON     ,33.503923099
405,87,1915,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,35.8000387225
406,87,1914,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,36.7861867135
407,87,1916,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,COTTONDALE HIGH SCHOOL                                                                              ,JACKSON     ,33.1473375875
408,87,1915,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,35.8000387225
409,94,1916,high,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,COTTONDALE HIGH SCHOOL                                                                              ,JACKSON     ,40.6497259686
410,94,1914,high,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,40.8541006162
411,62,1914,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,39.3123088248
412,62,1915,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,40.0555957117
413,87,1915,middle,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,35.8000387225
414,87,1914,middle,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,36.7861867135
415,75,2153,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,27.088844469
416,75,2155,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,LIBERTY EARLY LEARNING CENTER                                                                       ,LIBERTY     ,28.1388964758
417,75,2154,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,38.3149287229
418,80,2153,elementary,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,36.4836367287
419,80,2155,elementary,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,LIBERTY EARLY LEARNING CENTER                                                                       ,LIBERTY     ,38.701181929
420,80,2154,elementary,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,48.1782110634
421,84,2153,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,35.0200538545
422,84,2155,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,LIBERTY EARLY LEARNING CENTER                                                                       ,LIBERTY     ,37.4809382644
423,84,2154,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,46.760080971499995
424,62,2153,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,34.9023377097
425,62,2154,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,46.6433402742
426,93,2153,middle,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL                                                       ,BAY         ,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,36.9769316584
